Artists1,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Rangga Jones,Favourite Things,Favourite Things,61,173333,False,0.528,0.468,9,-8.286,1,0.133,0.264,0.0,0.0852,0.241,119.937,5,chill
Conor Matthews,Balloons,Older,63,200823,False,0.548,0.654,4,-4.599,1,0.0313,0.113,0.0,0.241,0.317,85.023,4,chill
GSoul,Hate Everything,Hate Everything,63,205773,False,0.474,0.229,10,-9.47,1,0.0329,0.858,0.0,0.11,0.289,118.827,4,chill
Varien,Can You Feel My Heart,Can You Feel My Heart,63,232200,False,0.258,0.747,4,-4.857,0,0.0417,0.00689,1.2e-06,0.37,0.321,120.619,4,chill
Tom Odell,Long Way Down (Deluxe),Heal,74,193080,False,0.445,0.179,1,-12.938,1,0.0396,0.952,0.00056,0.107,0.119,72.246,4,chill
GEMINI,Know me,Know me,64,214613,False,0.767,0.631,5,-6.052,0,0.0288,0.132,1.81e-05,0.127,0.675,94.99,4,chill
prxz,Love Wounds,Love Is More Depressing Than Depression,64,133267,False,0.793,0.215,9,-16.636,0,0.24,0.733,0.0426,0.143,0.335,100.141,4,chill
RINI,My Favourite Clothes,My Favourite Clothes,70,257000,False,0.746,0.339,2,-9.041,1,0.144,0.482,1.36e-05,0.0838,0.291,119.924,4,chill
HYBS,Ride,Ride,67,181622,False,0.757,0.393,5,-7.942,1,0.212,0.788,0.000986,0.0501,0.715,77.985,4,chill
Finding Hope,Apollo 19,Nightlight,53,175538,False,0.542,0.0866,5,-17.125,1,0.0556,0.721,0.00246,0.0962,0.161,147.808,4,chill
Fiji Blue,Another Day,Another Day,57,153267,False,0.689,0.751,1,-5.876,1,0.0339,0.307,0.00424,0.076,0.692,140.16,4,chill
DWLLRS,Blue Spirits,Blue Spirits,64,188307,False,0.66,0.646,9,-5.788,1,0.0469,0.655,0.0,0.188,0.336,130.003,4,chill
Faime,Rain,Rain,44,160555,False,0.737,0.423,6,-10.838,0,0.0357,0.346,0.000152,0.0872,0.244,108.035,4,chill
ODESZA,A Moment Apart,A Moment Apart,66,234244,False,0.515,0.663,7,-7.896,0,0.0328,0.179,0.668,0.494,0.0756,120.024,4,chill
demxntia,disappear,disappear,61,109741,False,0.476,0.36,2,-11.396,0,0.0494,0.96,1.92e-05,0.118,0.0341,140.575,4,chill
92914,Okinawa,Okinawa,61,348445,False,0.735,0.167,5,-18.467,1,0.0567,0.929,0.165,0.662,0.376,147.854,4,chill
Hisohkah,School Rooftop (Slowed Down Version),School Rooftop - Slowed Down Version,68,193732,False,0.74,0.255,10,-7.293,1,0.0534,0.275,0.894,0.105,0.231,142.568,4,chill
Idealism,rainy evening,Controlla,67,108000,False,0.788,0.446,6,-9.812,1,0.0693,0.545,0.694,0.273,0.545,80.009,4,chill
Elliott Trent,Into the Night,One Friend,58,153027,True,0.682,0.491,2,-8.095,0,0.0431,0.634,0.0,0.124,0.324,139.844,4,chill
Larissa Lambert,Weak,Weak,67,159375,False,0.617,0.451,7,-9.323,1,0.0584,0.627,0.0,0.267,0.487,127.923,4,chill
